algorithm;computer;mode;filename;run_number;internal_time;external_time;external_memory;opt;
ukp5;desktop;parallel;saw_n100000wmin10000-8-s400869978c1825758.ukp;1;8.31276;8.56;54972;1826485;
ukp5;desktop;parallel;ss2_wmin50000wmax1000000n20000-0-s827183242c7587102.ukp;1;0.0240385;0.09;94272;7587102;
ukp5;desktop;parallel;hi_n50000-16-s221755733c4342551.ukp;2;3.25496;3.40;120144;2082282105;
ukp5;desktop;parallel;ss2_wmin1000wmax500000n10000-0-s827183242c7053974.ukp;1;0.0127463;0.07;75672;7053974;
ukp5;desktop;parallel;hi_n5000-18-s575639252c2452692.ukp;1;0.074497;0.10;62448;127509629;
ukp5;desktop;parallel;saw_n50000wmin5000-5-s52325605c394630.ukp;1;0.709156;0.88;14444;394706;
ukp5;desktop;parallel;nsds2_n50000wmin50000-5-s999292130c1082699.ukp;2;3.63264;3.76;44204;3208928;
ukp5;desktop;parallel;saw_n50000wmin5000-20-s726804303c380063.ukp;1;0.743836;0.86;12296;380366;
ukp5;desktop;parallel;hi_n20000-24-s320356631c99252240.ukp;1;2.18752;2.59;2344840;19994225459;
ukp5;desktop;parallel;nsds2_n20000wmin50000-2-s463795034c1376516.ukp;3;1.02794;1.11;50220;1765896;
ukp5;desktop;parallel;hi_n5000-10-s199607488c6746697.ukp;1;0.127083;0.17;162992;350532596;
ukp5;desktop;parallel;saw_n50000wmin10000-13-s664283699c1044103.ukp;3;1.00053;1.16;17572;1044621;
ukp5;desktop;parallel;hi_n5000-22-s434860255c760592.ukp;3;0.0431492;0.06;22608;38292306;
ukp5;desktop;parallel;nsds2_n50000wmin20000-3-s603562343c1357468.ukp;1;6.1994;6.32;51104;4091479;
ukp5;desktop;parallel;hi_n50000-19-s808826180c41622293.ukp;3;4.35177;4.62;994064;20785081086;
ukp5;desktop;parallel;hi_n10000-19-s808826180c61166829.ukp;1;1.18921;1.42;1452596;6178122360;
ukp5;desktop;parallel;nsds2_n20000wmin50000-3-s603562343c1262362.ukp;1;1.32206;1.41;47624;1605500;
ukp5;desktop;parallel;nsds2_n20000wmin20000-19-s618866736c1596239.ukp;1;0.885308;0.97;56456;1998608;
ukp5;desktop;parallel;hi_n20000-12-s420935988c55461121.ukp;4;1.34312;1.60;1318624;11166156062;
ukp5;desktop;parallel;nsds2_n50000wmin50000-19-s618866736c1395411.ukp;2;5.76484;5.89;51536;4170261;
ukp5;desktop;parallel;hi_n50000-26-s90924128c31212485.ukp;1;5.6353;5.89;749048;15594578869;
ukp5;desktop;parallel;nsds2_n50000wmin20000-11-s577782098c1718268.ukp;2;9.18312;9.32;58400;5192016;
ukp5;desktop;parallel;hi_n50000-34-s467641010c41676479.ukp;1;4.4847;4.78;995440;20924040526;
ukp5;desktop;parallel;nsds2_n50000wmin20000-19-s618866736c1469822.ukp;1;6.49977;6.64;53864;4420307;
ukp5;desktop;parallel;hi_n50000-47-s442730424c21809652.ukp;1;3.81106;4.01;529604;10840411791;
ukp5;desktop;parallel;hi_n10000-14-s318339058c72410003.ukp;1;1.26257;1.53;1716020;7336849032;
ukp5;desktop;parallel;hi_n50000-9-s915258292c88886832.ukp;2;4.77811;5.25;2101828;44528626130;
ukp5;desktop;parallel;nsds2_n20000wmin20000-1-s720843886c1669722.ukp;2;1.0974;1.18;57816;2096592;
ukp5;desktop;parallel;hi_n20000-31-s410031365c69379204.ukp;1;1.49998;1.79;1644944;13949599481;
ukp5;desktop;parallel;saw_n50000wmin5000-39-s729180851c816843.ukp;2;0.666575;0.78;17372;817167;
ukp5;desktop;parallel;saw_n10000wmin10000-3-s952877847c788966.ukp;1;0.0985112;0.12;17128;789198;
ukp5;desktop;parallel;saw_n50000wmin10000-0-s985850175c337971.ukp;2;0.997669;1.16;11776;338002;
ukp5;desktop;parallel;sc_a-5n5000wmin15000-1-c322555.ukp;1;0.0636568;0.08;7460;322470;
ukp5;desktop;parallel;hi_n10000-11-s895832870c87027021.ukp;3;1.33415;1.66;2058516;8799433767;
ukp5;desktop;parallel;ss2_wmin100000wmax1000000n10000-0-s827183242c8590109.ukp;2;0.0422197;0.09;101756;8590109;
ukp5;desktop;parallel;hi_n50000-0-s731232778c74736455.ukp;1;4.32608;4.74;1769980;37498418848;
ukp5;desktop;parallel;saw_n10000wmin10000-11-s727046990c854766.ukp;1;0.101204;0.13;16264;854849;
ukp5;desktop;parallel;nsds2_n20000wmin50000-6-s351997719c1411906.ukp;1;1.19496;1.28;48408;1828906;
ukp5;desktop;parallel;ss2_wmin10000wmax500000n50000-0-s827183242c6712851.ukp;1;0.0114804;0.18;72840;6712851;
ukp5;desktop;parallel;hi_n5000-34-s467641010c7638994.ukp;2;0.135684;0.18;184036;396778261;
ukp5;desktop;parallel;saw_n50000wmin5000-34-s855474452c407194.ukp;3;0.680665;0.80;12076;407436;
ukp5;desktop;parallel;nsds2_n50000wmin20000-9-s684448574c1772748.ukp;1;8.74647;8.87;60568;5370245;
ukp5;desktop;parallel;nsds2_n50000wmin50000-17-s414892754c1268196.ukp;1;4.3239;4.45;48552;3788329;
ukp5;desktop;parallel;nsds2_n50000wmin50000-6-s351997719c1737764.ukp;1;5.00405;5.13;59544;5257172;
ukp5;desktop;parallel;ss2_wmin100000wmax500000n50000-0-s827183242c9460010.ukp;1;0.320628;0.49;94244;9460010;
ukp5;desktop;parallel;saw_n50000wmin5000-38-s662538967c515424.ukp;1;0.737048;0.86;14968;515732;
ukp5;desktop;parallel;hi_n20000-20-s742053853c66621104.ukp;2;1.65812;1.94;1580296;13421598642;
ukp5;desktop;parallel;hi_n5000-34-s467641010c7638994.ukp;3;0.160216;0.22;184088;396778261;
ukp5;desktop;parallel;hi_n10000-8-s67683560c34964751.ukp;1;0.60781;0.77;838260;3524932327;
ukp5;desktop;parallel;hi_n50000-8-s67683560c5172209.ukp;1;3.02663;3.21;139756;2577374085;
ukp5;desktop;parallel;hi_n10000-21-s669712253c96279181.ukp;1;1.43949;1.78;2275504;9748536169;
ukp5;desktop;parallel;sc_a-5n10000wmin110000-0-c3949309.ukp;1;0.806245;0.86;63028;3949144;
ukp5;desktop;parallel;sc_a5n5000wmin50000-1-c372017.ukp;1;0.0915384;0.10;11460;372052;
