algorithm;filename;run_number;internal_time;external_time;external_memory;opt;
mgreendp1;128_16_std_breqd-n8192-s8.ukp;1;;600.02;2946232;;
eduk;128_16_std_breqd-n8192-s9.ukp;1;5.36333;5.36;12932;16687478;
eduk2;128_16_std_breqd-n8192-s9.ukp;1;0.00667;0.01;6204;16687478;
ukp5;128_16_std_breqd-n8192-s9.ukp;1;0.234197;0.26;44312;16687478;
ukp5_sbw;128_16_std_breqd-n8192-s9.ukp;1;0.441324;0.46;44480;16687478;
cpp-mtu1;128_16_std_breqd-n8192-s9.ukp;1;0.000506273;0.02;3552;16687478;
cpp-mtu2;128_16_std_breqd-n8192-s9.ukp;1;0.000217603;0.02;3544;16687478;
mgreendp;128_16_std_breqd-n8192-s9.ukp;1;0.00427672;0.10;11740;16687478;
mgreendp1;128_16_std_breqd-n8192-s9.ukp;1;;600.02;2870924;;
eduk;128_16_std_breqd-n16384-s0.ukp;1;14.09000;14.10;19432;33195482;
eduk2;128_16_std_breqd-n16384-s0.ukp;1;0.00667;0.01;7820;33195482;
ukp5;128_16_std_breqd-n16384-s0.ukp;1;0.803283;0.85;85576;33195482;
ukp5_sbw;128_16_std_breqd-n16384-s0.ukp;1;2.34241;2.39;85476;33195482;
cpp-mtu1;128_16_std_breqd-n16384-s0.ukp;1;0.00106941;0.03;4032;33195482;
cpp-mtu2;128_16_std_breqd-n16384-s0.ukp;1;0.000417312;0.04;3556;33195482;
mgreendp;128_16_std_breqd-n16384-s0.ukp;1;0.00324263;0.05;19952;33195482;
mgreendp1;128_16_std_breqd-n16384-s0.ukp;1;;600.00;1930252;;
eduk;128_16_std_breqd-n16384-s1.ukp;1;21.29667;21.31;21348;33255905;
eduk2;128_16_std_breqd-n16384-s1.ukp;1;0.00667;0.01;7808;33255905;
ukp5;128_16_std_breqd-n16384-s1.ukp;1;1.0959;1.14;85476;33255905;
ukp5_sbw;128_16_std_breqd-n16384-s1.ukp;1;2.33991;2.39;85500;33255905;
cpp-mtu1;128_16_std_breqd-n16384-s1.ukp;1;0.00107525;0.03;4084;33255905;
cpp-mtu2;128_16_std_breqd-n16384-s1.ukp;1;0.000458867;0.04;3800;33255905;
mgreendp;128_16_std_breqd-n16384-s1.ukp;1;0.00307292;0.04;20016;33255905;
mgreendp1;128_16_std_breqd-n16384-s1.ukp;1;;600.00;1934516;;
eduk;128_16_std_breqd-n16384-s2.ukp;1;13.51333;13.52;19748;32925008;
eduk2;128_16_std_breqd-n16384-s2.ukp;1;0.00667;0.01;7144;32925008;
ukp5;128_16_std_breqd-n16384-s2.ukp;1;0.774554;0.83;85412;32925008;
ukp5_sbw;128_16_std_breqd-n16384-s2.ukp;1;2.33528;2.38;85468;32925008;
cpp-mtu1;128_16_std_breqd-n16384-s2.ukp;1;0.00118556;0.03;3928;32925008;
cpp-mtu2;128_16_std_breqd-n16384-s2.ukp;1;0.000431106;0.04;3636;32925008;
mgreendp;128_16_std_breqd-n16384-s2.ukp;1;0.00903237;0.16;20144;32925008;
mgreendp1;128_16_std_breqd-n16384-s2.ukp;1;;600.00;1916592;;
eduk;128_16_std_breqd-n16384-s3.ukp;1;15.23333;15.25;19760;33221878;
eduk2;128_16_std_breqd-n16384-s3.ukp;1;0.00667;0.01;9208;33221878;
ukp5;128_16_std_breqd-n16384-s3.ukp;1;0.84519;0.89;85476;33221878;
ukp5_sbw;128_16_std_breqd-n16384-s3.ukp;1;2.34082;2.38;85504;33221878;
cpp-mtu1;128_16_std_breqd-n16384-s3.ukp;1;0.00106067;0.03;3988;33221878;
cpp-mtu2;128_16_std_breqd-n16384-s3.ukp;1;0.000419574;0.04;3560;33221878;
mgreendp;128_16_std_breqd-n16384-s3.ukp;1;0.00300049;0.05;19996;33221878;
mgreendp1;128_16_std_breqd-n16384-s3.ukp;1;;600.00;1944816;;
eduk;128_16_std_breqd-n16384-s4.ukp;1;13.93333;13.94;19440;33158502;
eduk2;128_16_std_breqd-n16384-s4.ukp;1;0.00667;0.01;8692;33158502;
ukp5;128_16_std_breqd-n16384-s4.ukp;1;0.785214;0.83;85596;33158502;
ukp5_sbw;128_16_std_breqd-n16384-s4.ukp;1;2.34016;2.39;85496;33158502;
cpp-mtu1;128_16_std_breqd-n16384-s4.ukp;1;0.00106973;0.03;4000;33158502;
cpp-mtu2;128_16_std_breqd-n16384-s4.ukp;1;0.000418343;0.04;3636;33158502;
mgreendp;128_16_std_breqd-n16384-s4.ukp;1;0.00308004;0.04;19892;33158502;
mgreendp1;128_16_std_breqd-n16384-s4.ukp;1;;600.00;1921976;;
eduk;128_16_std_breqd-n16384-s5.ukp;1;30.35666;30.36;21612;33094527;
eduk2;128_16_std_breqd-n16384-s5.ukp;1;0.00667;0.01;8000;33094527;
ukp5;128_16_std_breqd-n16384-s5.ukp;1;1.87908;1.93;85476;33094527;
ukp5_sbw;128_16_std_breqd-n16384-s5.ukp;1;2.3404;2.39;85632;33094527;
cpp-mtu1;128_16_std_breqd-n16384-s5.ukp;1;0.00118515;0.03;3972;33094527;
cpp-mtu2;128_16_std_breqd-n16384-s5.ukp;1;0.00043638;0.04;3692;33094527;
mgreendp;128_16_std_breqd-n16384-s5.ukp;1;0.00503;0.05;20228;33094527;
mgreendp1;128_16_std_breqd-n16384-s5.ukp;1;;600.00;1920464;;
eduk;128_16_std_breqd-n16384-s6.ukp;1;13.32000;13.33;19440;33357825;
eduk2;128_16_std_breqd-n16384-s6.ukp;1;0.00667;0.01;8076;33357825;
ukp5;128_16_std_breqd-n16384-s6.ukp;1;0.77046;0.82;85612;33357825;
ukp5_sbw;128_16_std_breqd-n16384-s6.ukp;1;2.34378;2.39;85620;33357825;
cpp-mtu1;128_16_std_breqd-n16384-s6.ukp;1;0.00106251;0.03;3968;33357825;
cpp-mtu2;128_16_std_breqd-n16384-s6.ukp;1;0.000423013;0.04;3720;33357825;
mgreendp;128_16_std_breqd-n16384-s6.ukp;1;0.00376438;0.08;19928;33357825;
mgreendp1;128_16_std_breqd-n16384-s6.ukp;1;;600.00;1940580;;
