num_iter;knapsack_time;sort_time
 259; 0x1.2f34cbe49a73ep-11; 0x0p+0
 260; 0x1.1ce9001a68475p-11; 0x0p+0
 261; 0x1.3101d59822762p-11; 0x0p+0
 262; 0x1.25636f6eab62p-11; 0x0p+0
 263; 0x1.3c281bca584acp-11; 0x0p+0
 264; 0x1.31cc5e70815p-11; 0x0p+0
 265; 0x1.093db02896101p-11; 0x0p+0
 266; 0x1.26fddf8321a1ep-11; 0x0p+0
 267; 0x1.1d11ab1a97d34p-11; 0x0p+0
 268; 0x1.3ced23e2e6c83p-11; 0x0p+0
 269; 0x1.298d86d58b7c1p-11; 0x0p+0
 270; 0x1.1c1e54e5f19d2p-11; 0x0p+0
 271; 0x1.28efd2243e678p-11; 0x0p+0
 272; 0x1.23bf33176abbfp-11; 0x0p+0
 273; 0x1.3c6e704b16a9cp-11; 0x0p+0
 274; 0x1.5532142ce645ap-11; 0x0p+0
 275; 0x1.4a1c503a21865p-11; 0x0p+0
 276; 0x1.4bb4bce93291bp-11; 0x0p+0
 277; 0x1.47e4b4e4bd733p-11; 0x0p+0
 278; 0x1.25c0b77351e4ep-11; 0x0p+0
 279; 0x1.4f79c36e06f74p-11; 0x0p+0
 280; 0x1.3aeb1616a05e1p-11; 0x0p+0
 281; 0x1.34213c322cc55p-11; 0x0p+0
 282; 0x1.312ca659cf06ep-11; 0x0p+0
 283; 0x1.3b2827c4f3982p-11; 0x0p+0
 284; 0x1.2046468b54b26p-11; 0x0p+0
 285; 0x1.1bcebd92c8193p-11; 0x0p+0
 286; 0x1.3192630851ccfp-11; 0x0p+0
 287; 0x1.27eae6cf6899bp-11; 0x0p+0
 288; 0x1.1d69725f6df9bp-11; 0x0p+0
 289; 0x1.2740944d5d08ap-11; 0x0p+0
 290; 0x1.2d876f1706794p-11; 0x0p+0
 291; 0x1.272a07ddbc55ap-11; 0x0p+0
 292; 0x1.2573acf5ecd6bp-11; 0x0p+0
 293; 0x1.2bb38d0abff78p-11; 0x0p+0
 294; 0x1.3b843a8cc3c84p-11; 0x0p+0
 295; 0x1.2fb33ac43af1cp-11; 0x0p+0
 296; 0x1.396c0765241c1p-11; 0x0p+0
 297; 0x1.37bac628dd88ap-11; 0x0p+0
 298; 0x1.3c7f599ecf3p-11; 0x0p+0
 299; 0x1.35ee6841cc97ep-11; 0x0p+0
 300; 0x1.395264af5fb22p-11; 0x0p+0
 301; 0x1.492b86db3fc6p-11; 0x0p+0
 302; 0x1.4a13db9045433p-11; 0x0p+0
 303; 0x1.4658a14e3b43cp-11; 0x0p+0
 304; 0x1.54803d85a523ap-11; 0x0p+0
 305; 0x1.39dfdbd96b51ep-11; 0x0p+0
 306; 0x1.1e5091d79d242p-11; 0x0p+0
 307; 0x1.3f71a75998193p-11; 0x0p+0
 308; 0x1.3b7260b4648ffp-11; 0x0p+0
 309; 0x1.4378b6dc30d42p-11; 0x0p+0
 310; 0x1.42145dc1377e9p-11; 0x0p+0
 311; 0x1.32b2d21c3968fp-11; 0x0p+0
 312; 0x1.5ad461ec84224p-11; 0x0p+0
 313; 0x1.2dcfa4a1123c7p-11; 0x0p+0
 314; 0x1.509abbf24dd49p-11; 0x0p+0
 315; 0x1.573f45d4e538ep-11; 0x0p+0
 316; 0x1.440f2c2077f84p-11; 0x0p+0
 317; 0x1.3e14b007bc845p-11; 0x0p+0
 318; 0x1.4a24e7401599cp-11; 0x0p+0
 319; 0x1.23d77e344102ep-11; 0x0p+0
 320; 0x1.3a7ec5c78eb93p-11; 0x0p+0
 321; 0x1.3a7abefcc4502p-11; 0x0p+0
 322; 0x1.5bd4df6248161p-11; 0x0p+0
 323; 0x1.4928d7a9637ffp-11; 0x0p+0
 324; 0x1.5e6cfb5e8e336p-11; 0x0p+0
 325; 0x1.52de494bf952cp-11; 0x0p+0
 326; 0x1.523fe8ce352cbp-11; 0x0p+0
 327; 0x1.3d9bc1e7ec62fp-11; 0x0p+0
 328; 0x1.5f91713d40389p-11; 0x0p+0
 329; 0x1.6658127f784ap-11; 0x0p+0
 330; 0x1.6043f3b0f86c2p-11; 0x0p+0
 331; 0x1.5f7745171c8d6p-11; 0x0p+0
 332; 0x1.3e904d5968ebcp-11; 0x0p+0
 333; 0x1.48b3cdf845f76p-11; 0x0p+0
 334; 0x1.2bb7717972904p-11; 0x0p+0
 335; 0x1.328af54498beep-11; 0x0p+0
 336; 0x1.62dba898f7189p-11; 0x0p+0
 337; 0x1.544800caab348p-11; 0x0p+0
 338; 0x1.4921983c5d8f9p-11; 0x0p+0
 339; 0x1.32ed123c988cap-11; 0x0p+0
 340; 0x1.3cf7e0aa57e07p-11; 0x0p+0
 341; 0x1.42200b0d4f48fp-11; 0x0p+0
 342; 0x1.2a1e36a1d2a32p-11; 0x0p+0
 343; 0x1.4254ecc9f5e08p-11; 0x0p+0
 344; 0x1.58c9df766175p-11; 0x0p+0
 345; 0x1.48de5a01c2e78p-11; 0x0p+0
 346; 0x1.51c9878429811p-11; 0x0p+0
 347; 0x1.444f98cd1e89ep-11; 0x0p+0
 348; 0x1.5d8eb7a482bcfp-11; 0x0p+0
 349; 0x1.344cfd7880084p-11; 0x0p+0
 350; 0x1.383b5ac9fb0b5p-11; 0x0p+0
 351; 0x1.2e9c97f31dbbdp-11; 0x0p+0
 352; 0x1.438fef1848989p-11; 0x0p+0
 353; 0x1.55f55d983f2f2p-11; 0x0p+0
 354; 0x1.49bbf1ef574c8p-11; 0x0p+0
 355; 0x1.42c294b1f5a86p-11; 0x0p+0
 356; 0x1.46f6df6fe7998p-11; 0x0p+0
 357; 0x1.4a7d37f54b017p-11; 0x0p+0
 358; 0x1.4b27acd36e62cp-11; 0x0p+0
 359; 0x1.1bdf848a68cf2p-11; 0x0p+0
 360; 0x1.1adaddedc2a1ep-11; 0x0p+0
 361; 0x1.61bc4c65cdfefp-11; 0x0p+0
 362; 0x1.6763b3d0f4c71p-11; 0x0p+0
 363; 0x1.2a069751736dcp-11; 0x0p+0
 364; 0x1.63ba981f79a08p-11; 0x0p+0
 365; 0x1.5c8f08574daafp-11; 0x0p+0
 366; 0x1.5a5b2f1484604p-11; 0x0p+0
 367; 0x1.3f948ce1c7a82p-11; 0x0p+0
 368; 0x1.46c59d69c3fa2p-11; 0x0p+0
 369; 0x1.48f3d390a5182p-11; 0x0p+0
 370; 0x1.6c350773bcbb3p-11; 0x0p+0
 371; 0x1.5708830ef13d2p-11; 0x0p+0
 372; 0x1.403ab63cf0ffcp-11; 0x0p+0
 373; 0x1.70fa8b6e5514bp-11; 0x0p+0
 374; 0x1.5a5f9cf3963a4p-11; 0x0p+0
 375; 0x1.4d609fc1c099p-11; 0x0p+0
 376; 0x1.48903ca39f56fp-11; 0x0p+0
 377; 0x1.4730fd342eecep-11; 0x0p+0
 378; 0x1.3b004aed52eep-11; 0x0p+0
 379; 0x1.4e64337da843dp-11; 0x0p+0
 380; 0x1.4831e1be3a51ap-11; 0x0p+0
 381; 0x1.21c1932a362bep-11; 0x0p+0
 382; 0x1.20f74f0a06f29p-11; 0x0p+0
 383; 0x1.34da74a28ba8p-11; 0x0p+0
 384; 0x1.2fb24a3f943f9p-11; 0x0p+0
 385; 0x1.3399236bd9b1bp-11; 0x0p+0
 386; 0x1.596952d4e41d7p-11; 0x0p+0
 387; 0x1.70394568615fcp-11; 0x0p+0
 388; 0x1.5f760fda463abp-11; 0x0p+0
 389; 0x1.3de2c23521d36p-11; 0x0p+0
 390; 0x1.7d7bc58d01499p-11; 0x0p+0
 391; 0x1.405d34b0d91dbp-11; 0x0p+0
 392; 0x1.279f5647097eep-11; 0x0p+0
 393; 0x1.509b67bec4e61p-11; 0x0p+0
 394; 0x1.5453f2cef29f8p-11; 0x0p+0
 395; 0x1.32e83d493f41cp-11; 0x0p+0
 396; 0x1.7c1bda5119ce1p-11; 0x0p+0
 397; 0x1.6b15442c4c30bp-11; 0x0p+0
 398; 0x1.2596b4da3435ep-11; 0x0p+0
 399; 0x1.54810bae34056p-11; 0x0p+0
 400; 0x1.6bebe1650a45dp-11; 0x0p+0
 401; 0x1.498ad2454b7d7p-11; 0x0p+0
 402; 0x1.5dd3b48c52f8ep-11; 0x0p+0
 403; 0x1.4baf5e857a058p-11; 0x0p+0
 404; 0x1.884349c58aa8p-11; 0x0p+0
 405; 0x1.34ebc50a8b9f3p-11; 0x0p+0
 406; 0x1.6c56fc774597fp-11; 0x0p+0
 407; 0x1.2dd1ca628f415p-11; 0x0p+0
 408; 0x1.250f032828932p-11; 0x0p+0
 409; 0x1.3b5ffd6ba6165p-11; 0x0p+0
 410; 0x1.7a10229e20ce1p-11; 0x0p+0
 411; 0x1.135877656737fp-11; 0x0p+0
 412; 0x1.4fdbbe09eef4dp-11; 0x0p+0
 413; 0x1.5c1c46c3c4f78p-11; 0x0p+0
 414; 0x1.682fb69e59944p-11; 0x0p+0
 415; 0x1.227ef4c17747fp-11; 0x0p+0
 416; 0x1.1cb95a65626b9p-11; 0x0p+0
 417; 0x1.24a0d1cfc98ap-11; 0x0p+0
 418; 0x1.6ddd4a95c7ca5p-11; 0x0p+0
 419; 0x1.614e5fc59e967p-11; 0x0p+0
 420; 0x1.6967193629543p-11; 0x0p+0
 421; 0x1.65b2fc050d74dp-11; 0x0p+0
 422; 0x1.77793bdeb1038p-11; 0x0p+0
 423; 0x1.9b654bb43378dp-11; 0x0p+0
 424; 0x1.33b23cb13eda6p-11; 0x0p+0
 425; 0x1.4c4b9941c126bp-11; 0x0p+0
 426; 0x1.4f08c087b3d7dp-11; 0x0p+0
 427; 0x1.34206e099de38p-11; 0x0p+0
 428; 0x1.39c9d8da29e03p-11; 0x0p+0
 429; 0x1.a2e69f5bd0605p-11; 0x0p+0
