algorithm;filename;run_number;internal_time;external_time;external_memory;opt;
cpp-mtu2;hi_n10000-25-s199811851c76710035.ukp;1;;600.00;3488;;
cpp-mtu1;nsds2_n50000wmin20000-16-s908468142c1516079.ukp;1;0.358094;0.46;5812;4576635;
mgreendp1;nsds2_n20000wmin20000-3-s603562343c1357401.ukp;1;149.253;149.29;149440;1693656;
mgreendp1;nsds2_n50000wmin20000-3-s603562343c1357468.ukp;1;;600.00;542760;;
mgreendp1;nsds2_n50000wmin20000-5-s999292130c1645290.ukp;1;;600.00;620328;;
cpp-mtu2;hi_n5000-7-s586106970c7129097.ukp;1;;600.00;3264;;
cpp-mtu2;saw_n50000wmin5000-31-s452656240c583030.ukp;1;1.011;1.10;5212;583145;
mgreendp1;hi_n10000-30-s418727292c56574382.ukp;1;;0.04;3580;;
cpp-mtu2;saw_n50000wmin5000-13-s664283699c547316.ukp;1;26.2641;26.35;5224;547860;
cpp-mtu2;hi_n20000-44-s539788685c31401096.ukp;1;;600.00;3808;;
cpp-mtu2;saw_n50000wmin5000-25-s93553270c654703.ukp;1;177.014;177.11;5352;654832;
cpp-mtu1;ss2_wmin1000wmax1000000n50000-0-s827183242c7944993.ukp;1;0.00749294;0.11;5756;7944993;
mgreendp1;saw_n10000wmin10000-4-s697219038c112100.ukp;1;1.08875;1.11;10100;112142;
cpp-mtu2;hi_n50000-25-s199811851c19155432.ukp;1;;600.00;4664;;
mgreendp1;hi_n50000-12-s420935988c11457020.ukp;1;;0.13;4736;;
cpp-mtu1;hi_n5000-40-s534548386c5024417.ukp;1;;600.00;3492;;
mgreendp1;nsds2_n20000wmin50000-19-s618866736c1081259.ukp;1;154.045;154.08;190964;1375802;
cpp-mtu1;nsds2_n50000wmin20000-4-s135458708c1922678.ukp;1;;600.00;5928;;
cpp-mtu2;sc_a-5n5000wmin15000-1-c322555.ukp;1;;600.00;3412;;
mgreendp1;hi_n20000-26-s90924128c44036015.ukp;1;;0.07;3888;;
mgreendp1;saw_n50000wmin5000-29-s865843378c1049981.ukp;1;20.1258;20.22;45236;1050815;
mgreendp1;hi_n5000-32-s674362184c9214816.ukp;1;;600.31;7819164;;
cpp-mtu1;saw_n10000wmin10000-15-s274936000c632165.ukp;1;0.00102406;0.02;3612;632226;
mgreendp1;nsds2_n50000wmin50000-8-s855531081c1092800.ukp;1;;600.00;509752;;
mgreendp1;hi_n10000-16-s221755733c6712104.ukp;1;;321.76;7825888;;
mgreendp1;saw_n100000wmin10000-1-s464585179c8808515.ukp;1;258.453;258.67;242688;8812913;
mgreendp1;saw_n50000wmin10000-0-s985850175c337971.ukp;1;15.9868;16.09;20992;338002;
mgreendp1;hi_n20000-44-s539788685c31401096.ukp;1;;0.12;3936;;
cpp-mtu2;hi_n50000-26-s90924128c31212485.ukp;1;;600.00;4872;;
cpp-mtu1;hi_n20000-15-s750851024c17795343.ukp;1;;600.00;4272;;
cpp-mtu2;nsds2_n50000wmin20000-15-s161344243c1346441.ukp;1;5.68443;5.78;6504;4047634;
cpp-mtu1;hi_n5000-6-s398797429c3023224.ukp;1;;600.00;3440;;
cpp-mtu2;hi_n50000-36-s442208726c8269526.ukp;1;2.7925;2.90;4844;4151705771;
mgreendp1;saw_n50000wmin5000-16-s98298363c428408.ukp;1;19.0378;19.13;22768;428746;
cpp-mtu1;ss2_wmin10000wmax1000000n100000-0-s827183242c9661788.ukp;1;0.0145946;0.20;8440;9661788;
cpp-mtu2;hi_n20000-38-s527753500c52694607.ukp;1;;600.00;3808;;
cpp-mtu2;hi_n50000-37-s252959003c57280825.ukp;1;;600.00;4860;;
cpp-mtu1;hi_n20000-42-s261146317c86648320.ukp;1;;600.00;4212;;
cpp-mtu1;hi_n50000-30-s418727292c90211289.ukp;1;;600.00;5876;;
mgreendp1;saw_n50000wmin5000-4-s697219038c612912.ukp;1;19.2177;19.32;27264;613399;
mgreendp1;saw_n50000wmin5000-26-s893962632c629772.ukp;1;19.0914;19.18;27740;630146;
cpp-mtu2;ss2_wmin1000wmax1000000n50000-0-s827183242c7944993.ukp;1;0.00728788;0.11;5800;7944993;
cpp-mtu1;nsds2_n20000wmin20000-8-s855531081c1974905.ukp;1;509.105;509.15;4244;2496031;
mgreendp1;ss2_wmin50000wmax1000000n20000-0-s827183242c7587102.ukp;1;;600.00;197404;;
cpp-mtu2;hi_n5000-25-s199811851c295352.ukp;1;0.19747;0.21;3428;14841895;
cpp-mtu2;sc_a-5n10000wmin110000-1-c4997908.ukp;1;;600.00;3608;;
cpp-mtu1;saw_n50000wmin5000-46-s488703061c264661.ukp;1;0.978464;1.07;5812;264764;
cpp-mtu2;saw_n10000wmin10000-11-s727046990c854766.ukp;1;0.00140157;0.02;3440;854849;
cpp-mtu1;hi_n50000-35-s889293313c39186005.ukp;1;;600.00;5868;;
cpp-mtu1;saw_n50000wmin5000-38-s662538967c515424.ukp;1;0.0116584;0.11;5852;515732;
cpp-mtu1;nsds2_n20000wmin50000-3-s603562343c1262362.ukp;1;0.36957;0.41;4228;1605500;
cpp-mtu1;saw_n100000wmin10000-11-s727046990c9843883.ukp;1;0.801238;1.00;8396;9844865;
mgreendp1;saw_n100000wmin10000-5-s52325605c2889948.ukp;1;203.484;203.67;101640;2890234;
mgreendp1;saw_n50000wmin5000-32-s319056149c543542.ukp;1;19.8138;19.90;25712;544081;
cpp-mtu1;ss2_wmin50000wmax1000000n100000-0-s827183242c9151889.ukp;1;0.00597775;0.20;8468;9151889;
mgreendp1;hi_n10000-39-s713413380c48918775.ukp;1;;0.04;3556;;
cpp-mtu1;hi_n5000-31-s410031365c7557273.ukp;1;;600.00;3392;;
cpp-mtu2;hi_n10000-32-s674362184c8388832.ukp;1;;600.00;3472;;
