num_iter;knapsack_time;sort_time
 343; 0x1.0e36be46e6de1p-14; 0x1.580899706dc01p-15
 344; 0x1.f08f3886731p-14; 0x1.5ae4e42bf5379p-15
 345; 0x1.425372d4efed2p-13; 0x1.5ba62a31e8ec8p-15
 346; 0x1.52a673a546d48p-12; 0x1.5a3080aeef9fcp-15
 347; 0x1.4f18fe0ef54c8p-13; 0x1.554613c6c282ep-15
 348; 0x1.bb86d445112c2p-14; 0x1.4e9462a30d60cp-15
 349; 0x1.4595bef729cb3p-13; 0x1.49eeadea80df3p-15
 350; 0x1.bf279da8c7dfdp-14; 0x1.61dd7340c7f9ep-15
 351; 0x1.28ffa897386b5p-13; 0x1.4d65971131b43p-15
 352; 0x1.7b32505f3dfe1p-13; 0x1.4718d47370764p-15
 353; 0x1.18aecd885e88dp-13; 0x1.4489d8ed7dad9p-15
 354; 0x1.2c22d143dd83p-14; 0x1.5fcf511422547p-15
 355; 0x1.05e24ac0f7094p-14; 0x1.5b76eb912a81bp-15
 356; 0x1.5543ee05457ep-14; 0x1.61ea55c9b617p-15
 357; 0x1.5eeffa79585b8p-14; 0x1.62a0df0838b3ap-15
 358; 0x1.c9c209020fd84p-14; 0x1.4af8f7a30f393p-15
 359; 0x1.626b2f23033a4p-14; 0x1.5e9e5fc0c9a31p-15
 360; 0x1.00f0e323f39c9p-13; 0x1.41d8814fba973p-15
 361; 0x1.3f2a625433082p-13; 0x1.5c3831971e36ap-15
 362; 0x1.2f640a8558debp-14; 0x1.53831b0e34875p-15
 363; 0x1.0a456d0b5ff45p-14; 0x1.5cf751db94e6bp-15
 364; 0x1.ca7ab8020f79cp-14; 0x1.5a70ed5b96316p-15
 365; 0x1.3d84674fbcce2p-14; 0x1.64123d0837f6bp-15
 366; 0x1.3adff23ae7d4ep-14; 0x1.593dd646c07b2p-15
