algorithm;filename;run_number;total_iter;hex_sum_knapsack_time;hex_sum_sort_time;hex_sum_master_prob_time;hex_rolls;
ukp5_int_cutstock;201_2500_NR_49.csp.txt;1;736;0x1.b21e59cc13024p-4;0x1.69f32be4bde32p-8;0x1.7693fea50c139p-2;0x1.04p+6;
ukp5_int_ns_cutstock;201_2500_NR_49.csp.txt;1;788;0x1.5500840964827p-4;0x0p+0;0x1.8baf731fb24c8p-2;0x1.04p+6;
mtu1_cutstock;201_2500_NR_49.csp.txt;1;;;;;;
cplex_cutstock;201_2500_NR_49.csp.txt;1;;;;;;
ukp5_fp_cutstock;201_2500_NR_7.csp.txt;1;742;0x1.b9545d9cb5a5p-4;0x1.b0de1d9be10b5p-8;0x1.69d77a722e68p-2;0x1.03fffffffffffp+6;
ukp5_fp_ns_cutstock;201_2500_NR_7.csp.txt;1;728;0x1.2b19375e91051p-4;0x0p+0;0x1.66c1a0e37eae6p-2;0x1.03fffffffffffp+6;
ukp5_int_cutstock;201_2500_NR_7.csp.txt;1;685;0x1.7bdeb774baac7p-4;0x1.55b3950727807p-8;0x1.5cf22f31f1bfdp-2;0x1.03ffffffffffep+6;
ukp5_int_ns_cutstock;201_2500_NR_7.csp.txt;1;686;0x1.1016d3924a005p-4;0x0p+0;0x1.5857e4ff84c12p-2;0x1.03ffffffffffep+6;
mtu1_cutstock;201_2500_NR_7.csp.txt;1;685;0x1.c91e3e1efd23ep+5;0x1.407cc386384efp-8;0x1.5ad3384bcbdbap-2;0x1.03ffffffffffep+6;
cplex_cutstock;201_2500_NR_7.csp.txt;1;;;;;;
ukp5_fp_cutstock;402_10000_DI_15.csp.txt;1;1759;0x1.5522a9269935p+0;0x1.19ce3d0f55077p-5;0x1.e8ec0c695616p+1;0x1.0800000000001p+7;
ukp5_fp_ns_cutstock;402_10000_DI_15.csp.txt;1;1723;0x1.d30177795e3acp-1;0x0p+0;0x1.c33d3844bff88p+1;0x1.0800000000003p+7;
ukp5_int_cutstock;402_10000_DI_15.csp.txt;1;1744;0x1.304e3792e0ba3p+0;0x1.eaca37b5e89e6p-6;0x1.d9b3f50b408bbp+1;0x1.07ffffffffffcp+7;
ukp5_int_ns_cutstock;402_10000_DI_15.csp.txt;1;1748;0x1.b1f2957810a0fp-1;0x0p+0;0x1.dce52c187b915p+1;0x1.0800000000004p+7;
mtu1_cutstock;402_10000_DI_15.csp.txt;1;;;;;;
cplex_cutstock;402_10000_DI_15.csp.txt;1;;;;;;
ukp5_fp_cutstock;402_10000_DI_33.csp.txt;1;1612;0x1.121b1182a321ap+0;0x1.e94c3e0aec5bp-6;0x1.69eae18232ec9p+1;0x1.07ffffffffffep+7;
ukp5_fp_ns_cutstock;402_10000_DI_33.csp.txt;1;1628;0x1.5440696b6d4f1p-1;0x0p+0;0x1.5c1305b6784c9p+1;0x1.0800000000001p+7;
ukp5_int_cutstock;402_10000_DI_33.csp.txt;1;1646;0x1.08b615c88b96bp+0;0x1.b93bbf8d8de1cp-6;0x1.6a1d11be6e644p+1;0x1.07fffffffffffp+7;
ukp5_int_ns_cutstock;402_10000_DI_33.csp.txt;1;1650;0x1.50893f2e691edp-1;0x0p+0;0x1.6f9bc9c41d95fp+1;0x1.08p+7;
mtu1_cutstock;402_10000_DI_33.csp.txt;1;;;;;;
cplex_cutstock;402_10000_DI_33.csp.txt;1;;;;;;
ukp5_fp_cutstock;402_10000_DI_37.csp.txt;1;1594;0x1.f7f213946d9b7p-1;0x1.f2683551233c6p-6;0x1.84e3be26a7f0fp+1;0x1.07fffffffffffp+7;
