num_iter;knapsack_time;sort_time
169;0x1.152c14b97e191p-13;0x1.50107d6a7dbcp-15
170;0x1.1973d5a0ed064p-13;0x1.45cbf84cbe85dp-15
171;0x1.f48d6c4ae816ep-13;0x1.50af6758a1235p-15
172;0x1.32d4826792a52p-14;0x1.517b6a2605f08p-15
173;0x1.496cc1b075398p-13;0x1.423d6fd5ae7b6p-15
174;0x1.e6fbde437dea5p-15;0x1.5044078e36309p-15
175;0x1.9523f1aa5a64bp-14;0x1.506218230c748p-15
176;0x1.c85ea06bbd34dp-14;0x1.544015912e329p-15
177;0x1.0ca3f4b3bdff7p-11;0x1.5c9d201d121acp-15
178;0x1.5173e600d05f8p-12;0x1.471f45b7e784dp-15
179;0x1.659e72fad1f66p-14;0x1.4b804240d36bp-15
180;0x1.2579726decd3bp-12;0x1.46240449c44cdp-15
181;0x1.3364ed7baa2bap-12;0x1.44904a31f4bc2p-15
182;0x1.34beac2b4a394p-13;0x1.466d07fc5ef1ep-15
183;0x1.c11e20850e4fdp-14;0x1.4bedc7ccbb62ap-15
184;0x1.f89ef3dcc2498p-14;0x1.47aadbd8a5c06p-15
185;0x1.e90a0070238fbp-14;0x1.50a6d052ad0fep-15
186;0x1.5814f288fc9cp-13;0x1.48c2081a22378p-15
187;0x1.25473fe322824p-13;0x1.4c6ea1260885fp-15
188;0x1.9e3339f1c6dfep-14;0x1.5267a349be068p-15
189;0x1.104f5882cdfb2p-12;0x1.4e1c204fb450ep-15
190;0x1.62baa41a14edep-13;0x1.4046ecf9680b5p-15
191;0x1.4395923430c56p-12;0x1.4686cd0e3b2c2p-15
192;0x1.32a29494f7f44p-12;0x1.700ab2941a067p-15
193;0x1.1ea5a9ea97049p-13;0x1.4f59f42bfb1f6p-15
194;0x1.752fa454d5e7ap-13;0x1.4c75126a7f948p-15
195;0x1.27d8ea9af191p-13;0x1.40ae0140d8f46p-15
196;0x1.7dc8469a07169p-14;0x1.4daa4f40d24f9p-15
197;0x1.fbf0484967498p-14;0x1.427bb6c0d8082p-15
198;0x1.cb92f7244a735p-14;0x1.475941201707fp-15
199;0x1.3ed36937ebc38p-14;0x1.54bca367814c2p-15
200;0x1.7fba7df3537cep-14;0x1.4aee3adb9e20ep-15
201;0x1.a633ecfdaaf74p-14;0x1.4daa4f40d24f9p-15
202;0x1.06de9f0fd8c3bp-13;0x1.51bbd6d2ac822p-15
203;0x1.1d30451fcd586p-12;0x1.55d81b2bf7cdp-15
204;0x1.3815e86c0706ap-13;0x1.4dca859725986p-15
205;0x1.0ddc8c8864122p-13;0x1.4f334c9130c8p-15
206;0x1.d6393225c2067p-14;0x1.4c1023e48bb05p-15
207;0x1.20dafd2266429p-13;0x1.4f961555a7a75p-15
208;0x1.18fe427f703c7p-13;0x1.4bad5b2014d1p-15
209;0x1.53455d936a3bcp-13;0x1.3abd962317873p-15
210;0x1.1ef2f9202bb35p-13;0x1.58044ded73b66p-15
211;0x1.0910b9a56c7a6p-13;0x1.5783749426931p-15
212;0x1.9c4bbf5feb91dp-13;0x1.4ed6f51130f74p-15
213;0x1.273c266e4b2eap-13;0x1.494fc3fc5d77fp-15
214;0x1.8b343fe7656e3p-13;0x1.3a0b58678ef44p-15
215;0x1.260998c9d4b9ap-14;0x1.521c79d5a65c9p-15
216;0x1.a4e1b273407aap-14;0x1.59512a1425a6ep-15
217;0x1.c4846510363f4p-13;0x1.4e9ad3e7846f5p-15
218;0x1.36811b7378f38p-13;0x1.709648b4d842p-15
219;0x1.a7986874bc1d3p-14;0x1.76486ce770226p-15
220;0x1.e6d536a8b392ep-14;0x1.5d98618b3552dp-15
221;0x1.dac0d6497844p-15;0x1.52c8464cb7e1p-15
222;0x1.c9bdbd7f15ce8p-14;0x1.56cf111720fb4p-15
223;0x1.ff8b29d9062fep-13;0x1.4fb8716d77f5p-15
224;0x1.8a51b0aa5feep-14;0x1.659b3a58966f1p-15
225;0x1.928c5f1e73889p-14;0x1.7b07e6b1d8de3p-15
226;0x1.5ec8c96e2ec3p-13;0x1.57521031eb237p-15
227;0x1.6ddce38180596p-12;0x1.4a539c7074c36p-15
228;0x1.9d49afffeb0fep-13;0x1.4a55c231f1c83p-15
229;0x1.a9b7b8ad49e98p-14;0x1.62c1155e8bfc8p-15
230;0x1.ade41831bed8bp-14;0x1.57d2e98b3846bp-15
231;0x1.def29431a5bf7p-13;0x1.6000b5765dc42p-15
232;0x1.c1d5bca44f6efp-14;0x1.6805b4053be54p-15
233;0x1.ba8a7ff62f71bp-14;0x1.54287640cefd3p-15
234;0x1.7f9fa600b8c03p-14;0x1.4ce6e3796195cp-15
235;0x1.b979c4f92a092p-14;0x1.432111f3727dfp-15
236;0x1.2f33b903dbf18p-14;0x1.5ad801a3071a7p-15
237;0x1.dd9f46c67cc06p-15;0x1.50462d4fb3356p-15
238;0x1.9c0cef0462c3cp-13;0x1.472e4e0252a6dp-15
239;0x1.67c4bde836127p-13;0x1.530467766468fp-15
240;0x1.2e79f7231dcd8p-13;0x1.518ebdf36b1c3p-15
241;0x1.54b96ac545c4ep-14;0x1.592a82795b4f7p-15
242;0x1.5ccb4bdd12032p-14;0x1.538dd7d5a59fap-15
243;0x1.20cc7e485a61cp-14;0x1.550381589eec6p-15
244;0x1.19fdcf708d7e2p-14;0x1.5202b4c3ca225p-15
245;0x1.8891f0940d79dp-14;0x1.5f1f391a16c66p-15
246;0x1.ffdc3b2135a72p-13;0x1.344a2bea8bf1ep-15
247;0x1.4310f6c848d99p-13;0x1.3cf8d12efe929p-15
248;0x1.7620b26be748ap-14;0x1.566a22912d171p-15
249;0x1.31e1d7ff63809p-14;0x1.5880dbc3c6cffp-15
250;0x1.39aab5649519cp-14;0x1.5154c28b3b992p-15
251;0x1.b38eb83f21282p-14;0x1.5a2c352bf5961p-15
252;0x1.a7b6790992612p-14;0x1.55e0b231ebe06p-15
253;0x1.52420e8fb2319p-14;0x1.649316618519fp-15
254;0x1.8e8da1e99f408p-13;0x1.4fe3648b3c561p-15
255;0x1.aba37ec21f413p-14;0x1.56aedac0cdb27p-15
256;0x1.92808f7643edep-14;0x1.52f55f2bf946fp-15
257;0x1.4bc2d4aef7018p-14;0x1.4c8ed77c5bcecp-15
258;0x1.562231bf50f47p-14;0x1.5cc1a1f65f6d5p-15
259;0x1.8969c309a1e1cp-14;0x1.773b174f9f47p-15
260;0x1.95021f02e9584p-13;0x1.55af4dcfb070cp-15
261;0x1.23e70fef0b661p-13;0x1.465bd9f076cb1p-15
262;0x1.29e45d95baf06p-13;0x1.4a4b056a80affp-15
263;0x1.7e650ac6ad79p-14;0x1.586d87f661a44p-15
264;0x1.252b550fc9432p-13;0x1.558234f06f0acp-15
265;0x1.f999226a26ff1p-15;0x1.511455de95077p-15
266;0x1.15226ad2cb834p-13;0x1.5e10a3de8e62ap-15
267;0x1.12f638114f99ep-13;0x1.54c985f06f694p-15
268;0x1.259b005d2e3f9p-13;0x1.52f9aaaef350ap-15
269;0x1.376d549731099p-12;0x1.55c2a19d159c7p-15
270;0x1.50ec9b630c2dap-14;0x1.56d136d89e002p-15
271;0x1.b3c8b3a750ab3p-14;0x1.4411969a249dbp-15
272;0x1.04e00e9dfd818p-13;0x1.4157a7f66d73ep-15
273;0x1.e1c1fc643f19dp-15;0x1.69e04c0e29163p-15
274;0x1.6190240b334b2p-14;0x1.5e7146e1883d2p-15
275;0x1.83508a8f99184p-14;0x1.48f5923ddaac1p-15
276;0x1.60dc49fe8cf48p-13;0x1.52cc91cfb1eabp-15
277;0x1.9f5ecce167051p-14;0x1.55a491083f587p-15
278;0x1.7849ac8b27aabp-14;0x1.45a7767371334p-15
279;0x1.8abd1074cae0cp-14;0x1.432337b4ef82dp-15
280;0x1.55ed94bad9fd8p-14;0x1.5715ef083e9b8p-15
281;0x1.127abd1bbb02bp-13;0x1.516e879d17d36p-15
282;0x1.050c9e0cdfa63p-13;0x1.539aba5e93bccp-15
283;0x1.51e27e6d76d98p-14;0x1.562344a00f76ep-15
284;0x1.9f0d3228d84cap-14;0x1.552a28f36943cp-15
285;0x1.321f957a2dcc2p-13;0x1.5665d70e330d6p-15
286;0x1.6e708737d3672p-14;0x1.5bed0823068cbp-15
287;0x1.c731fa9b5e8d2p-14;0x1.4d7d366190e9ap-15
288;0x1.69c015b7d5cd6p-14;0x1.42a8cfa0196e2p-15
289;0x1.0560e7f74aa4cp-13;0x1.4c36cb7f5607bp-15
290;0x1.0a137f38c5437p-13;0x1.58761efc55b7bp-15
291;0x1.6c297c83bcc12p-14;0x1.559588bdd4368p-15
